"agency","Program Name","Fiscal_Year"
"USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","2022"
"USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","2023"
"USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","2024"
"USDA","Food and Nutrition Service (FNS) Nutrition Program Administration (NPA)","2021"
"USDA","Food and Nutrition Service (FNS) Nutrition Program Administration (NPA)","2022"
"USDA","Food and Nutrition Service (FNS) Special Milk Program (SMP)","2021"
"USDA","Food and Nutrition Service (FNS) Special Milk Program (SMP)","2022"
"USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","2021"
"USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","2022"
"USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","2023"
"USDA","Food and Nutrition Service (FNS) Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)","2024"
"USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","2021"
"USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","2022"
"USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","2023"
"USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","2024"
"USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","2025"
"USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","2021"
"USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","2022"
"USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","2023"
"USDA","Food and Nutrition Service (FNS) Supplemental Nutrition Assistance Program (SNAP)","2024"
"USDA","Food Distribution Program on Indian Reservations","2021"
"USDA","Food Distribution Program on Indian Reservations","2022"
"USDA","Food for Education","2022"
"USDA","Food for Progress","2021"
"USDA","Food for Progress","2022"
"USDA","Food Safety and Inspection Service (FSIS) Salaries and Expenses","2021"
"USDA","Food Safety and Inspection Service (FSIS) Salaries and Expenses","2022"
"USDA","Foreign Agriculture Service (FAS) Salaries and Expenses","2022"
"USDA","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","2021"
"USDA","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","2022"
"USDA","Forest Service (FS) Emergency Leave","2021"
"USDA","Forest Service (FS) Emergency Leave","2022"
"USDA","Forest Service (FS) Forest and Rangeland Research - Disaster Relief","2021"
"USDA","Forest Service (FS) Management of National Forest Lands for Subsistence Uses","2021"
"USDA","Forest Service (FS) Management of National Forest Lands for Subsistence Uses","2022"
"USDA","Forest Service (FS) Operations","2021"
"USDA","Forest Service (FS) State, Private, and Tribal Forestry","2021"
"USDA","Forest Service (FS) State, Private, and Tribal Forestry","2022"
"USDA","FS Hurricane Harvey - State and Private Forestry","2021"
"USDA","FS Wildland Fire Disaster Relief - Wildland Fire Management","2021"
"USDA","FS Wildland Fire Management - Suppression","2021"
"USDA","FS-04 Capital Improvement and Maintenance","2021"
"USDA","FS-04 Capital Improvement and Maintenance","2022"
"USDA","FS-05 State, Private, and Tribal Forestry","2021"
"USDA","FS-05 State, Private, and Tribal Forestry","2022"
"USDA","FS-06 Forest and Rangeland Research","2021"
"USDA","FS-06 Forest and Rangeland Research","2022"
"USDA","FS-07 Stewardship Contracting Product Sales","2021"
"USDA","FS-07 Stewardship Contracting Product Sales","2022"
"USDA","FS-08 Permanent Appropriations","2021"
"USDA","FS-08 Permanent Appropriations","2022"
"USDA","FS-09 Forest Service Trust Funds","2021"
"USDA","FS-09 Forest Service Trust Funds","2022"
"USDA","FS-10 Land Acquisition","2021"
"USDA","FS-10 Land Acquisition","2022"
"USDA","FS-11 Working Capital Fund","2021"
"USDA","FS-11 Working Capital Fund","2022"
"USDA","FS-12 Management of National Forest Lands for Subsistence Uses","2021"
"USDA","FS-12 Management of National Forest Lands for Subsistence Uses","2022"
"USDA","FS-13 Range Betterment Fund","2021"
"USDA","FS-13 Range Betterment Fund","2022"
"USDA","FS-14 Operations","2022"
"USDA","Heirs’ Property Relending Program","2021"
"USDA","Heirs’ Property Relending Program","2022"
"USDA","Indemnity Program","2021"
"USDA","Indemnity Program","2022"
"USDA","Livestock Forage Disaster Program","2021"
"USDA","Livestock Forage Disaster Program","2022"
"USDA","Livestock Forage Disaster Program","2023"
"USDA","Livestock Forage Disaster Program","2024"
"USDA","Livestock Indemnity Program-2014 Farm Bill","2021"
"USDA","Livestock Indemnity Program-2014 Farm Bill","2022"
"USDA","Market Access Program","2021"
"USDA","Market Access Program","2022"
"USDA","Market Facilitation Program","2021"
"USDA","Market Facilitation Program","2022"
"USDA","N/A - REMOVE - Rolled into FS National Forest System","2021"
"USDA","National Institute of Food and Agriculture (NIFA) Research and Education Activities","2021"
"USDA","National Institute of Food and Agriculture (NIFA) Research and Education Activities","2022"
"USDA","National School Lunch Program","2021"
"USDA","National School Lunch Program","2022"
"USDA","National School Lunch Program","2025"
"USDA","Natural Resources Conservation Service (NRCS) P.L. 116-120 Disasters","2021"
"USDA","Natural Resources Conservation Service (NRCS) Emergency Watershed Protection Program - Hurricane Sandy","2021"
"USDA","Natural Resources Conservation Service (NRCS) P.L. 115-20 Disasters","2021"
"USDA","Natural Resources Conservation Service (NRCS) Water Bank/Damage Assessment Program","2021"
"USDA","Natural Resources Conservation Service (NRCS) Water Bank/Damage Assessment Program","2022"
"USDA","Noninsured Crop Disaster Assistance Program","2021"
"USDA","Noninsured Crop Disaster Assistance Program","2022"
"USDA","Noninsured Crop Disaster Assistance Program","2023"
"USDA","Noninsured Crop Disaster Assistance Program","2024"
"USDA","Noninsured Crop Disaster Assistance Program","2025"
"USDA","Nutrition Assistance for Puerto Rico","2021"
"USDA","Nutrition Assistance for Puerto Rico","2022"
"USDA","Office of Budget and Program Analysis (OBPA) Salaries and Expenses","2022"
"USDA","Office of Civil Rights (OCR) Salaries and Expenses","2022"
"USDA","Office of Inspector General (OIG) Disaster Related Appropriations","2022"
"USDA","Office of the Chief Economist (OCE) Salaries and Expenses","2022"
"USDA","Office of the Chief Financial Officer (OCFO) Salaries and Expenses","2022"
"USDA","Office of the Chief Information Officer (OCIO) Salaries and Expenses","2022"
"USDA","Office of the Inspector General (OIG) Salaries and Expenses","2022"
"USDA","Office of the Secretary (OSEC) Salaries and Expenses","2022"
"USDA","Outreach and Assistance for Socially Disadvantaged and Veteran Farmers and Ranchers","2022"
"USDA","Pandemic Assistance for Timber Harvesters and Haulers (PATHH) Program","2022"
"USDA","Pandemic EBT Food Benefits","2022"
"USDA","Pandemic Livestock Indemnity Program","2022"
"USDA","Pima Agriculture Cotton Trust Fund","2021"
"USDA","Pima Agriculture Cotton Trust Fund","2022"
"USDA","Plant and Animal Disease, Pest Control, and Animal Care","2021"
"USDA","Plant and Animal Disease, Pest Control, and Animal Care","2022"
"USDA","Plant Materials for Conservation","2021"
"USDA","Plant Materials for Conservation","2022"
"USDA","Quality Loss Adjustment Program","2022"
"USDA","Reimbursement Transportation Cost Payment Program","2021"
"USDA","Reimbursement Transportation Cost Payment Program","2022"
"USDA","Research & Education Activities; Integrated Activities","2021"
"USDA","Research & Education Activities; Integrated Activities","2022"
"USDA","Research, Education, and Economics (REE) Salaries and Expenses","2021"
"USDA","Research, Education, and Economics (REE) Salaries and Expenses","2022"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","2021"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","2022"
"USDA","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs","2021"
"USDA","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs","2022"
"USDA","Rural Business-Cooperative Service (RBCS) Relending Programs","2021"
"USDA","Rural Business-Cooperative Service (RBCS) Relending Programs","2022"
"USDA","Rural Development (RD) Salaries and Expenses","2021"
"USDA","Rural Development (RD) Salaries and Expenses","2022"
"USDA","Rural Development (RD) Salaries and Expenses (9002 BBMP)","2021"
"USDA","Rural Development (RD) Salaries and Expenses (9002 BBMP)","2022"
"USDA","Rural Development Policy Public Service and Leadership Development Program","2022"
"USDA","Rural Housing Service (RHS) Community Facilities Direct Loans","2021"
"USDA","Rural Housing Service (RHS) Community Facilities Direct Loans","2022"
"USDA","Rural Housing Service (RHS) Community Facilities Guaranteed Loans","2021"
"USDA","Rural Housing Service (RHS) Community Facilities Guaranteed Loans","2022"
"USDA","Rural Housing Service (RHS) Farm Labor Housing Loans (Section 514) and Grants (Section 516)","2021"
"USDA","Rural Housing Service (RHS) Farm Labor Housing Loans (Section 514) and Grants (Section 516)","2022"
"USDA","Rural Housing Service (RHS) Housing Loans and Grants - Other","2021"
"USDA","Rural Housing Service (RHS) Housing Loans and Grants - Other","2022"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Guaranteed Loans (Section 538 Loans)","2021"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Guaranteed Loans (Section 538 Loans)","2022"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Preservation and Revitalization Demo Program","2021"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Preservation and Revitalization Demo Program","2022"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rental Assistance Program","2021"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rental Assistance Program","2022"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rural Rental Housing Direct Loans (Section 515)","2021"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rural Rental Housing Direct Loans (Section 515)","2022"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rural Rental Housing Direct Loans (Section 515) (HIM Disasters)","2021"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rural Rental Housing Direct Loans (Section 515) (HIM Disasters)","2022"
"USDA","Rural Housing Service (RHS) Single Family Housing Direct Loans","2021"
"USDA","Rural Housing Service (RHS) Single Family Housing Direct Loans","2022"
"USDA","Rural Housing Service (RHS) Single Family Housing Guaranteed Loans","2021"
"USDA","Rural Housing Service (RHS) Single Family Housing Guaranteed Loans","2022"
"USDA","Rural Utilities Service (RUS) Broadband Telecom Loans - Treasury Rate","2021"
"USDA","Rural Utilities Service (RUS) Broadband Telecom Loans - Treasury Rate","2022"
"USDA","Rural Utilities Service (RUS) Community Connect Grants","2021"
"USDA","Rural Utilities Service (RUS) Community Connect Grants","2022"
"USDA","Rural Utilities Service (RUS) Congressional Earmarked Funds","2021"
"USDA","Rural Utilities Service (RUS) Congressional Earmarked Funds","2022"
"USDA","Rural Utilities Service (RUS) Electric Loan Programs - Direct Treasury Rate","2021"
"USDA","Rural Utilities Service (RUS) Electric Loan Programs - Direct Treasury Rate","2022"
"USDA","Rural Utilities Service (RUS) Electric Loan Programs FFB Guaranteed Loans","2021"
"USDA","Rural Utilities Service (RUS) Electric Loan Programs FFB Guaranteed Loans","2022"
"USDA","Rural Utilities Service (RUS) Grants - Other - Electric","2021"
"USDA","Rural Utilities Service (RUS) Grants - Other - Electric","2022"
"USDA","Rural Utilities Service (RUS) Public Television Digital Transition Grants","2021"
"USDA","Rural Utilities Service (RUS) Public Television Digital Transition Grants","2022"
"USDA","Rural Utilities Service (RUS) Rural Energy Savings Program","2021"
"USDA","Rural Utilities Service (RUS) Rural Energy Savings Program","2022"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - Distance Learning and Telemedicine","2021"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - Distance Learning and Telemedicine","2022"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - ReConnect Program","2021"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - ReConnect Program","2022"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications Hardship Loans - Direct Telecom Loans","2021"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications Hardship Loans - Direct Telecom Loans","2022"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications Loans - FFB Telecom Loans","2021"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications Loans - FFB Telecom Loans","2022"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications Loans - Treasury Telecom Loan","2021"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications Loans - Treasury Telecom Loan","2022"
"USDA","Rural Utilities Service (RUS) Rural Utilities Electric Program - Direct 5%","2021"
"USDA","Rural Utilities Service (RUS) Rural Utilities Electric Program - Direct 5%","2022"
