"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"USDA","2020","Federal Crop Insurance Corporation (FCIC)","","","No","Yes"
"USDA","2021","Federal Crop Insurance Corporation (FCIC)","","","Yes","Yes"
"USDA","2022","Federal Crop Insurance Corporation (FCIC)","","","Yes","Yes"
"USDA","2023","Federal Crop Insurance Corporation (FCIC)","0","","Yes","Yes"
"USDA","2024","Federal Crop Insurance Corporation (FCIC)","0","","Yes","Yes"
"USDA","2025","Federal Crop Insurance Corporation (FCIC)","0","","Yes","Yes"
"USDA","2024","Feral Swine Eradication and Control Pilot Program","","","Yes","No"
"USDA","2025","Feral Swine Eradication and Control Pilot Program","","","No","No"
"USDA","2021","FNS CACFP FDCH - Tiering Decisions","","","No",""
"USDA","2021","FNS Child and Adult Care Food - FDC-Tiering Component","","","No",""
"USDA","2019","FNS Hurricane Harvey - Commodity Assistance Program","","No","Yes","No"
"USDA","2020","FNS Hurricane Harvey - Commodity Assistance Program","","","No","No"
"USDA","2021","FNS Hurricane Harvey - Commodity Assistance Program","","","No","No"
"USDA","2019","FNS Hurricane Harvey - SNAP","","No","Yes","No"
"USDA","2020","FNS Hurricane Harvey - SNAP","","","No","No"
"USDA","2021","FNS Hurricane Harvey - SNAP","","","No","No"
"USDA","2019","FNS Hurricane Harvey - WIC","","No","Yes","No"
"USDA","2020","FNS Hurricane Harvey - WIC","","","No","No"
"USDA","2021","FNS Hurricane Harvey - WIC","","","No","No"
"USDA","2014","FNS Hurricane Sandy - Commodity Assistance Program","","","Yes","No"
"USDA","2017","FNS Hurricane Sandy - Commodity Assistance Program","","","No","No"
"USDA","2018","FNS Hurricane Sandy - Commodity Assistance Program","","","No","No"
"USDA","2019","FNS Hurricane Sandy - Commodity Assistance Program","","","No","No"
"USDA","2020","FNS Hurricane Sandy - Commodity Assistance Program","","","No","No"
"USDA","2021","FNS Hurricane Sandy - Commodity Assistance Program","","","No","No"
"USDA","2021","FNS TEFAP Disaster Program","","","No",""
"USDA","2019","Food and Nutrition Service (FNS) American Samoa (AS)","","","Yes","No"
"USDA","2020","Food and Nutrition Service (FNS) American Samoa (AS)","","","No","No"
"USDA","2021","Food and Nutrition Service (FNS) American Samoa (AS)","","","No","No"
"USDA","2022","Food and Nutrition Service (FNS) American Samoa (AS)","","","No","No"
"USDA","2023","Food and Nutrition Service (FNS) American Samoa (AS)","","","No","No"
"USDA","2024","Food and Nutrition Service (FNS) American Samoa (AS)","","","No","No"
"USDA","2025","Food and Nutrition Service (FNS) Child and Adult Care Food Program","0","","Yes","Yes"
"USDA","2021","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Centers","","","No",""
"USDA","2022","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Centers","","","No",""
"USDA","2023","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Centers","","","No",""
"USDA","2024","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Centers","","","Yes","Yes"
"USDA","2017","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","","","No",""
"USDA","2018","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","","","No",""
"USDA","2019","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","","","No",""
"USDA","2020","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","","","Yes","No"
"USDA","2021","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","","","Yes","No"
"USDA","2022","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","","","Yes","No"
"USDA","2023","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","0","","Yes","No"
"USDA","2024","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","0","","Yes","Yes"
"USDA","2023","Food and Nutrition Service (FNS) Child and Adult Care Food Programs (CACFP) - Adult Day Care Facilities","","","No",""
"USDA","2023","Food and Nutrition Service (FNS) Child and Adult Care Food Programs (CACFP) - Child Care Centers","","","No",""
"USDA","2025","Food and Nutrition Service (FNS) Food Safety Grants","","","No",""
"USDA","2017","Food and Nutrition Service (FNS) Nutrition Program Administration (NPA)","","","No",""
"USDA","2021","Food and Nutrition Service (FNS) Nutrition Program Administration (NPA)","","","No",""
"USDA","2022","Food and Nutrition Service (FNS) Nutrition Program Administration (NPA)","","","No",""
"USDA","2023","Food and Nutrition Service (FNS) Nutrition Program Administration (NPA)","","","No",""
"USDA","2024","Food and Nutrition Service (FNS) Nutrition Program Administration (NPA)","0","","No",""
"USDA","2025","Food and Nutrition Service (FNS) Nutrition Program Administration (NPA)","","","No",""
"USDA","2019","Food and Nutrition Service (FNS) Special Milk Program (SMP)","","No","Yes","No"
"USDA","2020","Food and Nutrition Service (FNS) Special Milk Program (SMP)","","","No","No"
"USDA","2021","Food and Nutrition Service (FNS) Special Milk Program (SMP)","","","No","No"
"USDA","2022","Food and Nutrition Service (FNS) Special Milk Program (SMP)","","","No","No"
"USDA","2023","Food and Nutrition Service (FNS) Special Milk Program (SMP)","","","No","No"
"USDA","2024","Food and Nutrition Service (FNS) Special Milk Program (SMP)","","","No","No"
"USDA","2017","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","","","No",""
"USDA","2018","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","","","No",""
"USDA","2019","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","","Yes","No",""
"USDA","2020","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","","","Yes","No"
"USDA","2021","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","","","Yes","No"
"USDA","2022","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","","","No","No"
"USDA","2023","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","0","","No","No"
"USDA","2024","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","0","","Yes","Yes"
"USDA","2025","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","","","No","Yes"
"USDA","2023","Food and Nutrition Service (FNS)Nutrition Program Administration (NPA)","0","","Yes","No"
"USDA","2018","Food Distribution Program on Indian Reservations","","","No",""
"USDA","2021","Food Distribution Program on Indian Reservations","","Yes","Yes","Yes"
"USDA","2022","Food Distribution Program on Indian Reservations","","","No","Yes"
"USDA","2023","Food Distribution Program on Indian Reservations","0","","No","Yes"
"USDA","2024","Food Distribution Program on Indian Reservations","0","","Yes","No"
"USDA","2025","Food Distribution Program on Indian Reservations","","","No","No"
"USDA","2025","Food Distribution Program on Indian Reservations (FDPIR) Nutrition Paraprofessional Training","","","No",""
"USDA","2025","Food Distribution Program on Indian Reservations Nutrition Education Grants","","","No",""
"USDA","2017","Food for Education","","","No",""
"USDA","2021","Food for Education","","","No",""
"USDA","2022","Food for Education","","","No",""
"USDA","2023","Food for Education","0","","Yes","No"
"USDA","2024","Food for Education","0","","No","No"
"USDA","2025","Food for Education","","","No","No"
"USDA","2025","Food for Opportunity","","","No",""
"USDA","2019","Food for Progress","","No","Yes","No"
"USDA","2020","Food for Progress","","","No","No"
"USDA","2021","Food for Progress","","","No","No"
"USDA","2022","Food for Progress","0","No","Yes","No"
"USDA","2023","Food for Progress","0","","No","No"
"USDA","2024","Food for Progress","0","","No","No"
"USDA","2025","Food for Progress","0","","Yes","No"
"USDA","2025","Food Loss and Waste Reduction","","","No",""
"USDA","2018","Food Safety and Inspection Service (FSIS) Salaries and Expenses","","","No",""
"USDA","2021","Food Safety and Inspection Service (FSIS) Salaries and Expenses","","No","Yes","No"
"USDA","2022","Food Safety and Inspection Service (FSIS) Salaries and Expenses","","","No","No"
"USDA","2023","Food Safety and Inspection Service (FSIS) Salaries and Expenses","0","","No","No"
"USDA","2024","Food Safety and Inspection Service (FSIS) Salaries and Expenses","0","","Yes","No"
"USDA","2025","Food Safety and Inspection Service (FSIS) Salaries and Expenses","","","No","No"
"USDA","2022","Foreign Agriculture Service (FAS) Salaries and Expenses","","","No",""
"USDA","2023","Foreign Agriculture Service (FAS) Salaries and Expenses","0","","No",""
"USDA","2024","Foreign Agriculture Service (FAS) Salaries and Expenses","0","","Yes","No"
"USDA","2025","Foreign Agriculture Service (FAS) Salaries and Expenses","","","No","No"
"USDA","2024","Foreign Market Development Cooperator Program","","","Yes","No"
"USDA","2025","Foreign Market Development Cooperator Program","","","No","No"
"USDA","2024","Forest Service (FS) - Emergency Leave","","","No",""
"USDA","2025","Forest Service (FS) - Emergency Leave","","","No",""
"USDA","2017","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","","","No",""
"USDA","2018","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","","","No",""
"USDA","2019","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","","","No",""
"USDA","2020","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","","","Yes","No"
"USDA","2021","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","","","Yes","No"
"USDA","2022","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","","","No","No"
"USDA","2023","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","","","No","No"
"USDA","2024","Forest Service (FS) Disaster Supplemental - Capital Improvement and Maintenance","","","No","No"
"USDA","2021","Forest Service (FS) Emergency Leave","","","No",""
"USDA","2022","Forest Service (FS) Emergency Leave","","","No",""
"USDA","2021","Forest Service (FS) Forest and Rangeland Research - Disaster Relief","","","No",""
"USDA","2019","Forest Service (FS) Management of National Forest Lands for Subsistence Uses","","No","Yes","No"
"USDA","2020","Forest Service (FS) Management of National Forest Lands for Subsistence Uses","","","No","No"
"USDA","2021","Forest Service (FS) Management of National Forest Lands for Subsistence Uses","","","No","No"
"USDA","2022","Forest Service (FS) Management of National Forest Lands for Subsistence Uses","","","No","No"
"USDA","2023","Forest Service (FS) Management of National Forest Lands for Subsistence Uses","","","No","No"
"USDA","2024","Forest Service (FS) Management of National Forest Lands for Subsistence Uses","","","No","No"
"USDA","2021","Forest Service (FS) Operations","","","No",""
"USDA","2021","Forest Service Emergency Sandy - Emergnecy Forest Restoration Program","","","No",""
"USDA","2025","Fresh Fruit and Vegetable Program","","","No",""
"USDA","2021","FS AmeriCorps","","","No",""
"USDA","2021","FS Emergency Leave","","","No",""
"USDA","2021","FS Hurricane Harvey - National Forest System","","","No",""
"USDA","2019","FS Hurricane Harvey - State and Private Forestry","","No","Yes","No"
"USDA","2020","FS Hurricane Harvey - State and Private Forestry","","","No","No"
"USDA","2021","FS Hurricane Harvey - State and Private Forestry","","","No","No"
"USDA","2016","FS Hurricane Sandy - Capital Improvement and Maintenance (CIM)","","","Yes","No"
"USDA","2017","FS Hurricane Sandy - Capital Improvement and Maintenance (CIM)","","","No","No"
"USDA","2018","FS Hurricane Sandy - Capital Improvement and Maintenance (CIM)","","","No","No"
"USDA","2019","FS Hurricane Sandy - Capital Improvement and Maintenance (CIM)","","","No","No"
"USDA","2020","FS Hurricane Sandy - Capital Improvement and Maintenance (CIM)","","","No","No"
"USDA","2021","FS Hurricane Sandy - Capital Improvement and Maintenance (CIM)","","","No","No"
"USDA","2016","FS Hurricane Sandy - EFRP","","","Yes","No"
"USDA","2017","FS Hurricane Sandy - EFRP","","","No","No"
"USDA","2018","FS Hurricane Sandy - EFRP","","","No","No"
"USDA","2019","FS Hurricane Sandy - EFRP","","","No","No"
"USDA","2020","FS Hurricane Sandy - EFRP","","","No","No"
"USDA","2021","FS Hurricane Sandy - EFRP","","","No","No"
"USDA","2019","FS Wildland Fire Disaster Relief - Wildland Fire Management","","No","Yes","No"
"USDA","2020","FS Wildland Fire Disaster Relief - Wildland Fire Management","","","No","No"
"USDA","2021","FS Wildland Fire Disaster Relief - Wildland Fire Management","","","No","No"
"USDA","2017","FS Wildland Fire Management - Suppression","","","No",""
"USDA","2018","FS Wildland Fire Management - Suppression","","","No",""
"USDA","2019","FS Wildland Fire Management - Suppression","","No","Yes","No"
"USDA","2020","FS Wildland Fire Management - Suppression","","","No","No"
"USDA","2021","FS Wildland Fire Management - Suppression","","","No","No"
