"Agency","Program Name","Assistance Listing Number"
"USDA","Extension Activities","10.5"
"USDA","Extension Activities","10.517"
"USDA","Research & Education Activities","10.2"
"USDA","Research & Education Activities","10.202"
"USDA","Research & Education Activities","10.205"
"USDA","Research & Education Activities","10.221"
"USDA","Research & Education Activities","10.222"
"USDA","Research & Education Activities","10.228"
"USDA","Research & Education Activities","10.229"
"USDA","Research & Education Activities","10.23"
"USDA","Research & Education Activities","10.231"
"USDA","Research & Education Activities","10.232"
"USDA","Research & Education Activities","10.236"
"USDA","Research & Education Activities","10.237"
"USDA","Research & Education Activities","10.308"
"USDA","Research & Education Activities","10.519"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Preservation and Revitalization Demo Program","10.447"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Preservation and Revitalization Demo Program","10.447"
"USDA","Community Facilities Community Program Grants; Rural Community Development Initiative Grants; Community Facilities Direct Loans","10.766"
"USDA","FS-08 Permanent Appropriations","10.666"
"USDA","FS-08 Permanent Appropriations","10.665"
"USDA","Rural Housing Service (RHS) Farm Labor Housing Loans (Section 514) and Grants (Section 516)","10.495"
"USDA","Rural Housing Service (RHS) Farm Labor Housing Loans (Section 514) and Grants (Section 516)","10.405"
"USDA","Rural Housing Service (RHS) Housing Loans and Grants - Other","10.433"
"USDA","Rural Housing Service (RHS) Housing Loans and Grants - Other","10.411"
"USDA","Rural Housing Service (RHS) Housing Loans and Grants - Other","10.42"
"USDA","Rural Housing Services (RHS) Multi-Family Housing Non-Profit Transfer Technical Assistance Grants","10.494"
"USDA","Rural Utilities Service (RUS) Powering Affordable Clean Energy (PACE) Program","10.757"
"USDA","*Internal Apportionment from OSEC*","10.234"
"USDA","*Internal Apportionment from OSEC*","10.238"
"USDA","*Internal Apportionment from OSEC*","10.241"
"USDA","*Internal Apportionment from OSEC*","10.243"
"USDA","Indemnity Program","10.03"
"USDA","Agriculture Risk/Price Loss Coverage Program","10.113"
"USDA","Agriculture Risk/Price Loss Coverage Program","10.113"
"USDA","Agriculture Wool Apparel Manufacturers Trust Fund","10.616"
"USDA","Biomass Crop Assistance Program","10.087"
"USDA","Conservation Reserve Program","10.069"
"USDA","Dairy Indemnity Program","10.053"
"USDA","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","10.11"
"USDA","Export Guarantee Program","10.61"
"USDA","Farm Storage Facility Loans","10.056"
"USDA","Food for Progress","10.606"
"USDA","Commodity Credit Corporation (CCC) Hazardous Waste Activities","10.125"
"USDA","Market Facilitation Program","10.123"
"USDA","Pima Agriculture Cotton Trust Fund","10.615"
"USDA","Tree Assistance Program","10.111"
"USDA","Emergency Conservation Program","10.054"
"USDA","Farm Service Agency (FSA) Emergency Forest Restoration Program","10.102"
"USDA","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","10.109"
"USDA","Livestock Indemnity Program-2014 Farm Bill","10.108"
"USDA","Commodity Loans and Loan Deficiency Payments  ","10.051"
"USDA","Noninsured Crop Disaster Assistance Program","10.451"
"USDA","Reimbursement Transportation Cost Payment Program","10.098"
"USDA","Spot Market Hog Pandemic Program (SMHPP)","10.144"
"USDA","State Mediation Grants","10.435"
"USDA","Pandemic Assistance for Timber Harvesters and Haulers (PATHH) Program","10.137"
"USDA","Pandemic Livestock Indemnity Program","10.138"
"USDA","Quality Loss Adjustment Program","10.133"
"USDA","Wildfires and Hurricanes Indemnity Program","10.12"
"USDA","Wildfires and Hurricanes Indemnity Program Plus","10.129"
"USDA","Commodity Supplemental Food Program","10.565"
"USDA","WIC Farmers' Market Nutrition Program (FMNP)","10.572"
"USDA","Food Distribution Program on Indian Reservations","10.567"
"USDA","Nutrition Assistance for Puerto Rico","10.566"
"USDA","Pandemic EBT Food Benefits","10.542"
"USDA","School Breakfast Program","10.553"
"USDA","Senior Farmers Market Nutrition Program","10.576"
"USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","10.559"
"USDA","Food and Nutrition Service (FNS) Summer Food Service Program (SFSP)","10.559"
"USDA","Supplemental Nutrition Assistance Program","10.551"
"USDA","Emergency Food Assistance Program (Food Commodities)","10.569"
"USDA","Cooperative State Food Safety & Inspection","10.475"
"USDA","Cooperative State Food Safety & Inspection","10.477"
"USDA","Cooperative State Food Safety & Inspection","10.479"
"USDA","Food for Education","10.608"
"USDA","FS-04 Capital Improvement and Maintenance","10.718"
"USDA","FS-04 Capital Improvement and Maintenance","10.705"
"USDA","FS-04 Capital Improvement and Maintenance","10.724"
"USDA","FS-04 Capital Improvement and Maintenance","10.682"
"USDA","FS-04 Capital Improvement and Maintenance","10.699"
"USDA","FS-06 Forest and Rangeland Research","10.652"
"USDA","FS-06 Forest and Rangeland Research","10.707"
"USDA","FS-06 Forest and Rangeland Research","10.684"
"USDA","FS-06 Forest and Rangeland Research","10.683"
"USDA","FS-06 Forest and Rangeland Research","10.714"
"USDA","FS-06 Forest and Rangeland Research","10.682"
"USDA","FS-09 Forest Service Trust Funds","10.691"
"USDA","FS-10 Land Acquisition","10.699"
"USDA","FS-08 Permanent Appropriations","10.706"
"USDA","FS-08 Permanent Appropriations","10.712"
"USDA","FS-07 Stewardship Contracting Product Sales","10.701"
"USDA","Community Food Projects","10.225"
"USDA","Plant Materials for Conservation","10.905"
"USDA","Snow Survey and Water Supply Forecasting","10.907"
"USDA","Soil Survey","10.903"
"USDA","Urban Agriculture and Innovative Production Grants Program (UAIP)","10.935"
"USDA","Rural Development Policy Public Service and Leadership Development Program","10.996"
"USDA","Rural Business-Cooperative Service (RBCS) Relending Programs","10.767"
"USDA","Rural Business-Cooperative Service (RBCS) Relending Programs","10.87"
"USDA","Rural Housing Service (RHS) Community Facilities Community Program Grants","10.859"
"USDA","Rural Housing Service (RHS) Community Facilities Community Program Grants","10.766"
"USDA","Rural Housing Service (RHS) Community Facilities Direct Loans","10.766"
"USDA","Rural Housing Service (RHS) Community Facilities Guaranteed Loans","10.766"
"USDA","Rural Housing Service (RHS) Housing Loans and Grants - Other","10.417"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Guaranteed Loans (Section 538 Loans)","10.438"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rental Assistance Program","10.427"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rural Rental Housing Direct Loans (Section 515)","10.415"
"USDA","Rural Housing Service (RHS) Multi-Family Housing Rural Rental Housing Direct Loans (Section 515) (HIM Disasters)","10.415"
"USDA","Rural Housing Service (RHS) Rural Community Development Initiative Grants","10.446"
"USDA","Rural Housing Service (RHS) Single Family Housing Direct Loans","10.448"
"USDA","Rural Housing Service (RHS) Single Family Housing Direct Loans","10.41"
"USDA","Rural Housing Service (RHS) Single Family Housing Guaranteed Loans","10.41"
"USDA","Rural Utilities Service (RUS) Broadband Telecom Loans - Treasury Rate","10.886"
"USDA","Rural Utilities Service (RUS) Community Connect Grants","10.863"
"USDA","Rural Utilities Service (RUS) Community Connect Grants","10.855"
"USDA","Rural Utilities Service (RUS) Congressional Earmarked Funds","10.763"
"USDA","Rural Utilities Service (RUS) Congressional Earmarked Funds","10.759"
"USDA","Rural Utilities Service (RUS) Congressional Earmarked Funds","10.76"
"USDA","Rural Utilities Service (RUS) Electric Loan Programs - Direct Treasury Rate","10.85"
"USDA","Rural Utilities Service (RUS) Electric Loan Programs FFB Guaranteed Loans","10.85"
"USDA","Rural Utilities Service (RUS) Grants - Other - Electric","10.858"
"USDA","Rural Utilities Service (RUS) Grants - Other - Electric","10.859"
"USDA","Rural Utilities Service (RUS) Rural Energy Savings Program","10.751"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - Distance Learning and Telemedicine","10.855"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - Infrastructure Investment and Jobs Act","10.752"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - Infrastructure Investment and Jobs Act","10.886"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - ReConnect Program","10.752"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications - ReConnect Program","10.855"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications Loans - FFB Telecom Loans","10.851"
"USDA","Rural Utilities Service (RUS) Rural Telecommunications Loans - Treasury Telecom Loan","10.851"
"USDA","Rural Utilities Service (RUS) Rural Utilities Electric Program - Direct 5%","10.85"
"USDA","Rural Utilities Service (RUS) Rural Utilities Electric Program - Municipal Rate","10.85"
"USDA","Rural Utilities Service (RUS) Water and Waste Disposal Loans and Grants Section 306C","10.77"
"USDA","Rural Utilities Service (RUS) Water and Waste Disposal Loans and Grants Section 306C","10.76"
"USDA","Rural Utilities Service (RUS) Water and Waste Disposal Systems for Rural Communities Grants","10.759"
"USDA","Rural Utilities Service (RUS) Water and Waste Disposal Systems for Rural Communities Grants","10.76"
"USDA","Rural Utilities Service (RUS) Water and Waste Disposal Systems for Rural Communities Grants (HIM Disasters)","10.76"
"USDA","Rural Utilities Service (RUS) Water and Waste Disposal Systems for Rural Communities Loans","10.76"
"USDA","Rural Utilities Service (RUS) Water and Waste Guaranteed Loans","10.76"
"USDA","Rural Utilities Service (RUS) WEP Technical Assistance - Revolving","10.762"
"USDA","Rural Utilities Service (RUS) WEP Technical Assistance - Revolving","10.761"
"USDA","Rural Utilities Service (RUS) WEP Technical Assistance - Revolving","10.862"
"USDA","Rural Utilities Service (RUS) WEP Technical Assistance - Revolving","10.864"
"USDA","Rural Utilities Service (RUS) WEP Technical Assistance - Revolving","10.76"
"USDA","Emergency Grain Storage Facility Program","10.973"
"USDA","Rice Production Program","10.976"
"USDA","Healthy Forests Reserve Program (HFRP)","10.922"
"USDA","Partnerships for Climate- Smart Commodities","10.937"
"USDA","Agricultural and Food Policy Research Centers","10.291"
"USDA","Agricultural Market and Economic Research","10.29"
"USDA","Agricultural Marketing Service (AMS) - Bison Production and Marketing Grant Program","10.192"
"USDA","Agricultural Marketing Service (AMS) - Commodity Credit Corporation (CCC) Funding to Alleviate Emergency Supply Chain Disruption in the Commodity Supplemental Food Program (CSFP)","10.194"
"USDA","Agricultural Marketing Service (AMS) - Commodity Credit Corporation (CCC) Funding to Alleviate Emergency Supply Chain Disruption in the Food Distribution Program on Indian Reservation","10.193"
"USDA","Assisting Specialty Crop Exports","10.621"
"USDA","Bill Emerson National Hunger Fellows and Mickey Leland International Hunger Fellows Programs","10.593"
"USDA","Borlaug Executive Leadership Program","10.776"
"USDA","Child Nutrition Discretionary Grants Limited Availability","10.579"
"USDA","Child Nutrition-Technology Innovation Grant","10.541"
"USDA","Cochran Fellowship Program","10.962"
"USDA","Commodity Credit Corporation (CCC) Bill Emerson Humanitarian Trust Program","10.079"
"USDA","Commodity Credit Corporation (CCC) Cotton Transition Assistance Program","10.114"
"USDA","Commodity Credit Corporation (CCC) Oriental Fruit Fly Program","10.134"
"USDA","Commodity Credit Corporation (CCC) The Margin Protection Program","10.116"
"USDA","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP/FPD)","10.178"
"USDA","Coronavirus Food Assistance Program (CFAP) Training Grants","10.536"
"USDA","Cotton and Wool Apparel Program","10.149"
"USDA","Emergency Food Assistance Program (Administrative Costs)","10.568"
"USDA","Emergency Livestock Relief Program 2023 and 2024","10.986"
"USDA","Emergency Relief Program Outreach Education and Technical Assistance","10.975"
"USDA","Faculty Exchange Program","10.613"
